id,timestamp,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km,volcano_filter_Bromo,volcano_filter_Merapi,volcano_filter_Raung,volcano_filter_Semeru,volcano_filter_Slamet
1,6,3,-7.54194,110.44194,2968,1000.0,4.7,270.0,50.0,66.5,32.51150547827304,614.3906504060418,303.25733468039374,18.304149177282483,0,1,0,0,0
2,1,1,-7.54194,110.44194,2968,1000.0,8.0,135.0,51.0,168.0,27.76175556691916,460.7929878045314,37.90187339514722,15.89281919979614,0,1,0,0,0
3,3,1,-7.54194,110.44194,2968,1200.0,7.1,90.0,65.0,133.0,44.62571400141726,614.2141501760491,265.6355055821134,23.9344366227144,0,1,0,0,0
4,3,1,-7.54194,110.44194,2968,1250.0,3.2,135.0,70.0,160.0,22.99875886861905,184.2855303385668,288.1082800402276,11.77065860376459,0,1,0,0,0
5,3,1,-7.54194,110.44194,2968,1250.0,8.3,315.0,70.0,145.0,39.159594802632,307.10707508802454,270.4626629499073,20.80969390471224,0,1,0,0,0
6,3,1,-7.54194,110.44194,2968,1250.0,4.9,315.0,70.0,169.0,50.10174251055365,368.5284901057343,269.2626057196936,25.2353662965911,0,1,0,0,0
7,3,1,-7.54194,110.44194,2968,1250.0,9.6,315.0,70.0,174.5,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679,0,1,0,0,0
8,3,1,-7.54194,110.44194,2968,1250.0,8.6,315.0,75.0,174.5,50.99244714964517,368.5070995740713,265.9448965135988,26.40704013726679,0,1,0,0,0
9,3,2,-7.54194,110.44194,2968,1250.0,1.7999999999999998,135.0,38.0,165.0,39.225233581377935,337.85680562060963,278.4283661054898,21.97425803630388,0,1,0,0,0
10,12,1,-7.54194,110.44194,2968,1000.0,4.8,90.0,41.0,174.5,46.08594776007136,1351.9654393241412,341.66013523069654,25.83879104055469,0,1,0,0,0
11,8,1,-7.54194,110.44194,2968,600.0,10.2,270.0,66.0,174.5,35.71918039151468,645.1101829263439,305.7098558278996,19.84163082316228,0,1,0,0,0
12,8,1,-7.54194,110.44194,2968,1000.0,4.3,270.0,20.0,174.5,35.71918039151468,368.6343902436251,305.4721580801679,19.96378048210888,0,1,0,0,0
13,6,1,-7.54194,110.44194,2968,500.0,4.9,270.0,60.0,152.0,31.62230968060985,737.2687804872502,311.30148564290755,18.182377674353862,0,1,0,0,0
14,6,1,-7.54194,110.44194,2968,1000.0,3.1,135.0,75.0,174.5,29.999288259249123,245.72816047244007,295.305082272164,15.312416567124355,0,1,0,0,0
15,1,1,-7.54194,110.44194,2968,1250.0,8.4,315.0,45.0,120.0,79.20318693925358,716.0603159868158,243.89258332900604,39.38406957631331,0,1,0,0,0
16,6,2,-7.54194,110.44194,2968,1250.0,7.1,270.0,75.0,174.5,150.1229709670936,1657.69777439062,254.80517044079684,86.41514921825538,0,1,0,0,0
17,4,1,-7.54194,110.44194,2968,1250.0,9.8,315.0,75.0,103.0,35.164678237822216,307.16020059055023,295.53378287748507,17.78896153033987,0,1,0,0,0
18,4,1,-7.54194,110.44194,2968,1250.0,0.7000000000000002,90.0,78.0,174.5,104.93562395322192,3071.248420623133,272.42879376217616,52.57986345453581,0,1,0,0,0
19,3,1,-7.54194,110.44194,2968,1250.0,0.9999999999999996,270.0,40.0,150.0,54.45898171320039,552.6961620587717,253.74840880715533,28.84145596116452,0,1,0,0,0
20,3,1,-7.54194,110.44194,2968,1250.0,3.5,270.0,75.0,174.5,101.53877175699488,767.4981137902456,249.9105378989612,50.74618411929755,0,1,0,0,0
