eruption_energy_proxy,tinggi_letusan_m,plume_to_elevation_ratio,month,month_cos,wind_plume_interaction,amplitudo,wind_u,month_sin,wind_v,kec_angin_km_jam,hour_cos,alert_level_num,alert_level
588500.0,11770.0,3.9642977433479287,6.0,-1.0,17655.0,50.0,1.060660171779821,1.1102230246251563e-16,-1.0606601717798214,1.5,-0.8660254037844388,3.0,1.0
578760.0,11130.0,3.7487369484674975,6.0,-1.0,28938.0,52.0,1.838477631085024,1.1102230246251563e-16,1.838477631085024,2.6,-0.9659258262890684,1.0,0.0
50000.0,1000.0,0.3368137420006736,6.0,-1.0,4700.0,50.0,-8.604228440844963e-16,1.1102230246251563e-16,-4.7,4.7,-0.2588190451025207,2.0,3.0
1122750.0,14970.0,5.042101717750084,2.0,0.5000000000000002,53892.0,75.0,2.5455844122715705,0.8660254037844386,-2.545584412271572,3.6000000000000005,0.8660254037844384,3.0,1.0
140000.0,2000.0,0.6736274840013472,3.0,5.551115123125783e-17,9800.0,70.0,3.4648232278140823,1.0,-3.464823227814084,4.9,1.0,3.0,1.0
20000.0,1000.0,0.3368137420006736,8.0,-0.5000000000000004,4299.999999999993,20.0,-7.771561172376097e-16,-0.8660254037844386,-4.3,4.3,0.965925826289068,3.0,1.0
695240.0,13370.0,4.503199730549007,5.0,-0.8660254037844386,105623.0,52.0,-5.586143571373725,0.4999999999999999,5.586143571373726,7.9,0.7071067811865476,3.0,1.0
51000.0,1000.0,0.3368137420006736,1.0,0.8660254037844388,8000.0,51.0,-5.65685424949238,0.4999999999999999,5.656854249492381,8.0,-0.4999999999999997,3.0,1.0
1267072.0,16672.0,5.615358706635231,5.0,-0.8660254037844386,106700.8,76.0,-4.525483399593904,0.4999999999999999,4.525483399593905,6.4,0.9659258262890682,4.0,2.0
470800.0,11770.0,3.9642977433479287,3.0,5.551115123125783e-17,21186.0,40.0,-3.05311331771918e-16,1.0,-1.8,1.7999999999999998,-0.8660254037844388,3.0,1.0
78000.0,1200.0,0.4041764904008089,3.0,5.551115123125783e-17,8520.0,65.0,4.440892098500626e-16,1.0,7.099999999999999,7.1,0.7071067811865476,3.0,1.0
1778400.0,23712.0,7.986527450319972,2.0,0.5000000000000002,94848.0,75.0,2.8284271247461903,0.8660254037844386,2.82842712474619,4.0,0.965925826289068,4.0,2.0
