id,timestamp,volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km
1,2024-06-11 07:34:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,1000,4.7,270,50,30,,,,
2,2024-01-24 08:56:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,8,135,51,168,,,,
3,2023-03-15 03:36:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1200,7.1,90,65,133,,,,
4,2023-03-13 22:50:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1500,3.2,135,70,160,,,,
5,2023-03-12 09:19:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,2500,8.3,315,70,145,,,,
6,2023-03-12 00:08:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,2000,4.9,315,70,169,,,,
7,2023-03-11 06:06:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,3000,9.6,315,70,202,,,,
8,2023-03-11 05:12:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,3000,8.6,315,75,202,,,,
9,2022-03-09 17:00:00 UTC,Merapi,Red,-7.54194,110.44194,2968,3000,1.8,135,38,165,,,,
10,2021-12-01 14:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.8,90,41,702,,,,
11,2021-08-15 23:09:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,600,10.2,270,66,289,,,,
12,2021-08-07 23:45:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,4.3,270,20,222,,,,
13,2021-06-29 04:50:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,500,4.9,270,60,152,,,,
14,2021-06-24 22:56:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,1000,3.1,135,75,245,,,,
15,2021-01-09 02:29:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,8.4,315,45,120,,,,
16,2020-06-21 02:48:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,7.1,270,75,428,,,,
17,2020-04-10 02:16:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,9.8,315,75,103,,,,
18,2020-04-02 08:21:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,0.7,90,78,345,,,,
19,2020-03-28 17:20:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,1,270,40,150,,,,
20,2020-03-28 12:35:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,3.5,270,75,243,,,,
21,2020-03-27 22:41:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.1,270,50,180,,,,
22,2020-03-27 14:49:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.8,270,40,180,,,,
23,2020-03-27 04:15:00 UTC,Merapi,Red,-7.54194,110.44194,2968,24570,4.7,225,75,420,,,,
24,2020-03-02 22:50:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,3.4,315,75,450,,,,
25,2020-02-12 22:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,3.6,315,75,105,,,,
26,2019-11-17 03:54:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,9.1,270,70,155,,,,
27,2019-11-08 23:43:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,2.1,270,65,160,,,,
28,2018-05-23 20:16:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,1.8,270,75,433,,,,
29,2018-05-22 21:28:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,14970,5.4,225,55,145,,,,
30,2018-05-22 10:22:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,2.7,135,14,14,,,,
31,2018-05-21 03:17:00 UTC,Merapi,Yellow,-7.54194,110.44194,2968,12410,2.6,270,50,162,,,,
32,2018-05-11 01:40:00 UTC,Merapi,Red,-7.54194,110.44194,2968,16672,6.4,135,76,230,,,,
33,2016-02-16 23:45:00 UTC,Merapi,Red,-7.54194,110.44194,2968,23712,4,45,75,433,,,,
34,2019-10-14 09:44:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,18170,13.3,225,75,270,,,,
35,2019-09-22 05:08:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11130,7.6,225,52,152,,,,
36,2018-06-03 13:39:00 UTC,Merapi,Green,-7.54194,110.44194,2968,11130,2.6,45,52,152,,,,
37,2018-06-01 14:07:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,11770,1.5,315,50,162,,,,
38,2018-06-01 13:32:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,16570,0.4,270,76,230,,,,
39,2018-06-01 01:31:00 UTC,Merapi,Red,-7.54194,110.44194,2968,27770,4.7,315,75,433,,,,
40,2018-05-25 21:34:00 UTC,Merapi,Green,-7.54194,110.44194,2968,8650,5.1,135,29,96,,,,
41,2018-05-24 03:57:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,13370,7.9,135,52,163,,,,
42,2021-01-07 02:57:00 UTC,Merapi,Orange,-7.54194,110.44194,2968,9210,6.3,225,28,154,,,,
43,2026-03-02 14:07:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,1,45,22,110,,,,
44,2026-03-01 01:36:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,5,45,22,146,,,,
45,2026-02-26 01:23:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,10.6,45,22,110,,,,
46,2026-02-25 00:46:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,15.4,45,21,96,,,,
47,2026-02-24 23:37:00 UTC,Semeru,Orange,-8.10805,112.92,3676,400,12.8,45,21,99,,,,
48,2026-02-22 00:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,5.5,22.5,21,84,,,,
49,2026-02-22 00:04:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,5.5,22.5,22,118,,,,
50,2026-02-21 23:01:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.9,45,22,135,,,,
51,2026-02-20 00:15:00 UTC,Semeru,Orange,-8.10805,112.92,3676,900,10.9,22.5,22,125,,,,
52,2026-02-19 22:56:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.7,0,22,115,,,,
53,2026-02-19 22:49:00 UTC,Semeru,Orange,-8.10805,112.92,3676,1000,1.7,90,22,118,,,,
54,2026-02-19 17:24:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.2,0,22,112,,,,
55,2026-02-19 17:14:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,4.2,0,22,117,,,,
56,2026-02-19 16:50:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,2.7,0,22,115,,,,
57,2026-02-19 03:30:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3,45,22,115,,,,
58,2026-02-19 01:00:00 UTC,Semeru,Orange,-8.10805,112.92,3676,800,3,45,22,101,,,,
59,2026-02-19 00:24:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,4.5,45,15,92,,,,
60,2026-02-18 21:32:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,1.4,45,22,106,,,,
61,2026-02-18 16:58:00 UTC,Semeru,Orange,-8.10805,112.92,3676,600,2.7,45,22,101,,,,
62,2026-02-18 16:28:00 UTC,Semeru,Orange,-8.10805,112.92,3676,700,2.7,0,22,119,,,,
63,2026-02-17 17:41:00 UTC,Semeru,Orange,-8.10805,112.92,3676,500,4.2,202.5,22,98,,,,
