timestamp,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,max_time,jarak_km,luas_km2,sudut_deg,radius_km
2026-03-02 14:07:00 UTC,400,1.0,45.0,22.0,110.0,,,,
2026-03-01 01:36:00 UTC,500,5.0,45.0,22.0,146.0,,,,
2026-02-26 01:23:00 UTC,500,10.6,45.0,22.0,110.0,,,,
2026-02-25 00:46:00 UTC,600,15.4,45.0,21.0,96.0,,,,
2026-02-24 23:37:00 UTC,400,12.8,45.0,21.0,99.0,,,,
2026-02-22 00:49:00 UTC,900,5.5,22.5,21.0,84.0,,,,
2026-02-22 00:04:00 UTC,900,5.5,22.5,22.0,118.0,,,,
2026-02-21 23:01:00 UTC,700,4.9,45.0,22.0,135.0,,,,
2026-02-20 00:15:00 UTC,900,10.9,22.5,22.0,125.0,,,,
2026-02-19 22:56:00 UTC,500,1.7,0.0,22.0,115.0,,,,
2026-02-19 22:49:00 UTC,1000,1.7,90.0,22.0,118.0,,,,
2026-02-19 17:24:00 UTC,700,4.2,0.0,22.0,112.0,,,,
2026-02-19 17:14:00 UTC,700,4.2,0.0,22.0,117.0,,,,
2026-02-19 16:50:00 UTC,800,2.7,0.0,22.0,115.0,,,,
2026-02-19 03:30:00 UTC,800,3.0,45.0,22.0,115.0,,,,
2026-02-19 01:00:00 UTC,800,3.0,45.0,22.0,101.0,,,,
2026-02-19 00:24:00 UTC,500,4.5,45.0,15.0,92.0,,,,
2026-02-18 21:32:00 UTC,500,1.4,45.0,22.0,106.0,,,,
2026-02-18 16:58:00 UTC,600,2.7,45.0,22.0,101.0,,,,
2026-02-18 16:28:00 UTC,700,2.7,0.0,22.0,119.0,,,,
2026-02-17 17:41:00 UTC,500,4.2,202.5,22.0,98.0,,,,
2026-02-17 17:28:00 UTC,400,4.2,225.0,22.0,110.0,,,,
2026-02-17 16:44:00 UTC,1000,2.4,157.5,23.0,148.0,,,,
2026-02-17 14:50:00 UTC,800,3.1,112.5,21.0,119.0,,,,
2026-02-17 13:25:00 UTC,800,5.1,112.5,21.0,107.0,,,,
2026-02-17 12:45:00 UTC,500,8.9,67.5,21.0,105.0,,,,
2026-02-14 22:56:00 UTC,400,4.2,45.0,20.0,89.0,,,,
2026-02-14 22:09:00 UTC,700,4.2,45.0,22.0,123.0,,,,
2026-02-14 02:08:00 UTC,900,13.8,22.5,22.0,102.0,,,,
2026-02-14 00:25:00 UTC,1500,10.0,22.5,20.0,275.0,,,,
2026-02-13 22:54:00 UTC,2000,5.5,22.5,25.0,2388.0,,,,
2026-02-13 03:56:00 UTC,1000,9.7,22.5,20.0,250.0,,,,
2026-02-13 00:42:00 UTC,1000,13.7,22.5,23.0,133.0,,,,
2026-02-11 22:47:00 UTC,600,5.9,0.0,22.0,117.0,,,,
2026-02-11 17:34:00 UTC,700,4.1,0.0,22.0,89.0,,,,
2026-02-11 17:10:00 UTC,900,4.1,0.0,22.0,101.0,,,,
2026-02-10 22:36:00 UTC,1000,4.8,45.0,22.0,116.0,,,,
2026-02-10 17:52:00 UTC,400,8.1,0.0,22.0,75.0,,,,
2026-02-10 17:28:00 UTC,600,8.1,0.0,22.0,84.0,,,,
2026-02-10 00:32:00 UTC,1000,0.6,0.0,22.0,118.0,,,,
2026-02-09 11:32:00 UTC,900,2.3,0.0,22.0,110.0,,,,
2026-02-09 09:30:00 UTC,800,8.0,45.0,22.0,134.0,,,,
2026-02-08 22:50:00 UTC,500,2.3,45.0,22.0,113.0,,,,
2026-02-05 23:49:00 UTC,700,0.4,45.0,22.0,125.0,,,,
2026-02-05 23:30:00 UTC,500,0.4,45.0,22.0,110.0,,,,
2026-02-05 22:33:00 UTC,600,2.3,180.0,22.0,119.0,,,,
2026-02-05 17:44:00 UTC,400,6.1,180.0,22.0,103.0,,,,
2026-02-05 17:37:00 UTC,800,6.1,180.0,22.0,115.0,,,,
2026-02-05 16:57:00 UTC,600,7.7,180.0,22.0,120.0,,,,
2026-02-05 16:49:00 UTC,700,7.7,180.0,22.0,112.0,,,,
2026-02-05 00:06:00 UTC,600,7.1,45.0,22.0,121.0,,,,
2026-02-04 22:33:00 UTC,500,5.3,90.0,21.0,97.0,,,,
2026-02-04 22:23:00 UTC,800,5.3,90.0,22.0,120.0,,,,
2026-02-04 17:48:00 UTC,800,3.1,0.0,22.0,119.0,,,,
2026-02-04 17:13:00 UTC,1000,3.1,0.0,22.0,126.0,,,,
2026-02-04 00:46:00 UTC,400,6.7,0.0,21.0,99.0,,,,
2026-02-04 00:15:00 UTC,800,6.7,0.0,22.0,117.0,,,,
2026-02-04 00:03:00 UTC,600,6.7,0.0,21.0,109.0,,,,
2026-02-03 23:56:00 UTC,300,6.0,0.0,19.0,55.0,,,,
2026-02-03 23:10:00 UTC,700,6.0,0.0,22.0,124.0,,,,
2026-02-03 21:58:00 UTC,500,7.6,45.0,22.0,138.0,,,,
2026-02-03 00:30:00 UTC,500,7.1,45.0,22.0,112.0,,,,
2026-02-02 21:42:00 UTC,700,4.8,45.0,22.0,155.0,,,,
2026-02-02 13:54:00 UTC,500,2.3,0.0,22.0,115.0,,,,
2026-02-02 13:48:00 UTC,800,2.3,0.0,22.0,119.0,,,,
2026-02-02 12:19:00 UTC,1000,4.8,0.0,22.0,125.0,,,,
2026-02-01 22:23:00 UTC,300,1.3,45.0,22.0,110.0,,,,
2026-02-01 16:44:00 UTC,500,7.6,45.0,22.0,116.0,,,,
2026-01-30 23:26:00 UTC,500,1.1,45.0,22.0,134.0,,,,
2026-01-30 22:55:00 UTC,700,1.3,0.0,22.0,115.0,,,,
2026-01-30 22:22:00 UTC,800,1.3,0.0,22.0,127.0,,,,
2026-01-30 17:21:00 UTC,700,3.1,0.0,22.0,117.0,,,,
2026-01-29 22:16:00 UTC,900,3.1,90.0,23.0,122.0,,,,
2026-01-29 21:44:00 UTC,800,3.3,67.5,22.0,154.0,,,,
2026-01-29 00:20:00 UTC,700,14.2,135.0,22.0,115.0,,,,
2026-01-28 23:06:00 UTC,500,11.1,112.5,22.0,94.0,,,,
2026-01-28 21:47:00 UTC,500,9.7,135.0,22.0,126.0,,,,
2026-01-27 13:57:00 UTC,800,3.8,180.0,22.0,139.0,,,,
2026-01-24 21:33:00 UTC,800,9.8,45.0,22.0,156.0,,,,
2026-01-24 16:45:00 UTC,600,10.1,45.0,12.0,96.0,,,,
2026-01-19 01:36:00 UTC,500,9.7,22.5,22.0,110.0,,,,
2026-01-18 23:44:00 UTC,700,0.8,22.5,22.0,136.0,,,,
2026-01-18 22:19:00 UTC,1000,0.9,45.0,22.0,118.0,,,,
2026-01-18 17:50:00 UTC,300,4.3,0.0,22.0,88.0,,,,
2026-01-18 17:36:00 UTC,700,4.3,0.0,22.0,100.0,,,,
2026-01-18 17:22:00 UTC,400,4.3,0.0,22.0,92.0,,,,
2026-01-18 16:49:00 UTC,500,4.5,45.0,22.0,95.0,,,,
2026-01-18 11:31:00 UTC,600,5.3,0.0,22.0,88.0,,,,
2026-01-17 22:07:00 UTC,600,2.3,45.0,22.0,155.0,,,,
2026-01-16 07:38:00 UTC,500,10.8,0.0,22.0,125.0,,,,
2026-01-15 23:26:00 UTC,500,2.5,45.0,22.0,118.0,,,,
2026-01-15 22:38:00 UTC,800,1.9,45.0,22.0,99.0,,,,
2026-01-15 22:16:00 UTC,500,1.9,45.0,22.0,92.0,,,,
2026-01-15 22:08:00 UTC,500,1.9,0.0,22.0,96.0,,,,
2026-01-15 18:38:00 UTC,800,4.5,0.0,22.0,115.0,,,,
2026-01-15 18:09:00 UTC,700,4.5,0.0,22.0,110.0,,,,
2026-01-15 17:29:00 UTC,600,3.8,0.0,22.0,110.0,,,,
2026-01-12 01:09:00 UTC,400,9.4,45.0,22.0,110.0,,,,
2026-01-11 15:26:00 UTC,2000,6.9,112.5,27.0,696.0,,,,
2026-01-11 14:35:00 UTC,700,8.8,112.5,21.0,137.0,,,,
2026-01-10 15:42:00 UTC,400,6.0,45.0,22.0,155.0,,,,
2026-01-10 00:48:00 UTC,800,9.5,22.5,22.0,100.0,,,,
2026-01-09 22:01:00 UTC,800,8.5,67.5,23.0,126.0,,,,
2026-01-09 14:50:00 UTC,700,6.0,0.0,22.0,151.0,,,,
2026-01-09 10:17:00 UTC,800,13.5,45.0,22.0,93.0,,,,
2026-01-08 23:49:00 UTC,600,7.6,0.0,22.0,152.0,,,,
2026-01-08 22:41:00 UTC,900,8.4,0.0,22.0,124.0,,,,
2026-01-08 22:31:00 UTC,500,8.4,0.0,22.0,119.0,,,,
2026-01-08 17:59:00 UTC,1000,8.9,0.0,22.0,125.0,,,,
2026-01-08 17:45:00 UTC,500,8.9,0.0,22.0,110.0,,,,
2026-01-08 17:28:00 UTC,1000,8.9,0.0,22.0,121.0,,,,
2026-01-08 17:20:00 UTC,1000,8.9,0.0,22.0,122.0,,,,
2026-01-08 17:11:00 UTC,800,8.9,0.0,22.0,119.0,,,,
2026-01-08 14:58:00 UTC,700,6.1,315.0,13.0,129.0,,,,
2026-01-08 09:07:00 UTC,300,6.4,22.5,20.0,88.0,,,,
2026-01-08 00:14:00 UTC,700,12.0,315.0,14.0,120.0,,,,
2026-01-07 22:25:00 UTC,700,8.3,0.0,22.0,115.0,,,,
2026-01-07 22:19:00 UTC,600,8.3,0.0,22.0,110.0,,,,
2026-01-07 17:33:00 UTC,700,6.2,0.0,22.0,121.0,,,,
2026-01-07 16:57:00 UTC,900,6.2,0.0,22.0,125.0,,,,
2026-01-07 13:54:00 UTC,1000,7.2,0.0,22.0,125.0,,,,
2026-01-07 13:27:00 UTC,700,7.2,0.0,22.0,118.0,,,,
2026-01-07 12:54:00 UTC,1000,6.9,0.0,22.0,124.0,,,,
2026-01-07 12:35:00 UTC,900,6.9,0.0,22.0,120.0,,,,
2026-01-07 12:23:00 UTC,400,6.9,0.0,22.0,110.0,,,,
2026-01-07 11:29:00 UTC,600,9.7,0.0,22.0,116.0,,,,
2026-01-07 11:12:00 UTC,800,9.7,0.0,22.0,120.0,,,,
2026-01-07 11:08:00 UTC,600,9.7,0.0,22.0,114.0,,,,
2026-01-06 22:53:00 UTC,900,5.8,0.0,22.0,119.0,,,,
2026-01-06 22:32:00 UTC,800,5.8,0.0,22.0,107.0,,,,
2026-01-06 17:36:00 UTC,800,4.8,0.0,22.0,115.0,,,,
2026-01-06 17:26:00 UTC,700,4.8,0.0,22.0,110.0,,,,
2026-01-06 13:29:00 UTC,800,4.5,0.0,22.0,128.0,,,,
2026-01-06 13:00:00 UTC,700,4.5,0.0,22.0,118.0,,,,
2026-01-06 11:54:00 UTC,800,6.2,0.0,22.0,122.0,,,,
2026-01-06 11:28:00 UTC,700,6.2,0.0,22.0,121.0,,,,
2026-01-06 11:23:00 UTC,600,6.2,0.0,22.0,116.0,,,,
2026-01-06 09:10:00 UTC,800,11.7,45.0,13.0,121.0,,,,
2026-01-06 01:21:00 UTC,600,8.0,45.0,22.0,110.0,,,,
2026-01-06 01:07:00 UTC,400,8.0,45.0,22.0,101.0,,,,
2026-01-03 23:22:00 UTC,800,1.0,202.5,23.0,125.0,,,,
2026-01-03 22:55:00 UTC,700,2.3,180.0,22.0,109.0,,,,
2026-01-03 22:22:00 UTC,1000,2.3,180.0,22.0,122.0,,,,
2026-01-03 16:48:00 UTC,700,1.3,180.0,22.0,110.0,,,,
2026-01-03 16:29:00 UTC,600,1.3,0.0,22.0,99.0,,,,
2026-01-02 22:28:00 UTC,600,2.9,0.0,22.0,95.0,,,,
2026-01-02 22:11:00 UTC,800,2.9,45.0,22.0,116.0,,,,
2026-01-02 17:51:00 UTC,1000,1.6,0.0,22.0,118.0,,,,
2026-01-02 13:14:00 UTC,1000,2.2,0.0,22.0,119.0,,,,
2026-01-02 12:40:00 UTC,800,1.8,0.0,22.0,101.0,,,,
2026-01-02 11:54:00 UTC,900,2.7,0.0,22.0,110.0,,,,
2026-01-02 11:51:00 UTC,600,2.7,0.0,22.0,87.0,,,,
2026-01-02 11:33:00 UTC,700,2.7,0.0,22.0,89.0,,,,
2026-01-02 11:18:00 UTC,800,2.7,0.0,22.0,97.0,,,,
2026-01-02 10:50:00 UTC,900,6.8,45.0,22.0,138.0,,,,
2026-01-01 23:10:00 UTC,700,1.9,45.0,23.0,123.0,,,,
2025-12-31 21:00:00 UTC,900,0.7,67.5,22.0,129.0,,,,
2025-12-31 18:26:00 UTC,1000,5.5,112.5,23.0,122.0,,,,
2025-12-31 00:09:00 UTC,600,1.5,0.0,22.0,133.0,,,,
2025-12-30 23:29:00 UTC,900,0.6,112.5,22.0,125.0,,,,
2025-12-30 22:34:00 UTC,700,1.1,225.0,22.0,130.0,,,,
2025-12-30 00:37:00 UTC,800,5.1,45.0,22.0,120.0,,,,
2025-12-29 23:50:00 UTC,700,3.3,45.0,21.0,97.0,,,,
2025-12-29 19:08:00 UTC,700,1.3,0.0,22.0,165.0,,,,
2025-12-29 11:30:00 UTC,700,6.6,45.0,21.0,105.0,,,,
