timestamp,volcano_filter,alert_lvl,lat,long,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,max_time,jarak_km,luas_km2,sudut_deg,radius_km
2020-12-28 02:17:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8325,7.1,240,8.666.666.666.666.660,124,,,,
2016-10-19 01:12:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,9285,4.3,114,8,124,,,,
2016-07-12 02:09:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,9285,5.9,11,8.666.666.666.666.660,124,,,,
2016-05-24 05:31:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,9605,3.7,101,8.666.666.666.666.660,124,,,,
2016-04-03 04:52:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,6.1,45,8.666.666.666.666.660,124,,,,
2016-04-03 04:21:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,6.1,45,8.666.666.666.666.660,124,,,,
2016-04-03 04:07:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,8645,6.1,45,8.666.666.666.666.660,124,,,,
2016-04-02 04:45:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,9605,4.6,51,8.666.666.666.666.660,124,,,,
2016-04-02 04:19:00 UTC,Bromo,Yellow,-7.941.944.444,112.95,2329,9285,4.6,51,8,124,,,,
2019-07-19 11:52:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,0,2.9,7,37,124,,,,
2019-04-06 00:21:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9605,3.2,135,8.666.666.666.666.660,124,,,,
2019-03-27 10:43:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,11525,1.9,202,8.666.666.666.666.660,124,,,,
2019-03-27 00:56:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9925,2.3,270,8.666.666.666.666.660,124,,,,
2019-03-26 09:50:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,10565,2.2,171,8.666.666.666.666.660,124,,,,
2019-03-25 02:02:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9285,8.7,45,8.666.666.666.666.660,124,,,,
2019-03-20 23:25:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,2.1,121,8.666.666.666.666.660,124,,,,
2019-03-19 23:31:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9925,2.6,112.5,8.666.666.666.666.660,124,,,,
2019-03-19 07:04:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,11525,5.8,266,8.666.666.666.666.660,124,,,,
2019-03-18 00:50:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9925,2.5,180,8.666.666.666.666.660,124,,,,
2019-03-17 23:37:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,10565,1.6,0,8.666.666.666.666.660,124,,,,
2019-03-17 05:09:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,10565,1.8,90,8.666.666.666.666.660,124,,,,
2019-03-17 00:22:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,9925,5,0,8.666.666.666.666.660,124,,,,
2019-03-16 00:43:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8965,7.8,0,8.666.666.666.666.660,124,,,,
2019-03-15 00:54:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8965,9.6,0,8.666.666.666.666.660,124,,,,
2019-03-13 23:42:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8965,6.8,90,8.666.666.666.666.660,124,,,,
2019-03-13 00:35:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8965,2.1,45,8.666.666.666.666.660,124,,,,
2019-03-12 00:13:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,1.6,180,8.666.666.666.666.660,124,,,,
2019-03-11 00:53:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,3.2,117,8.666.666.666.666.660,124,,,,
2019-02-19 02:00:00 UTC,Bromo,Orange,-7.941.944.444,112.95,2329,8645,2.6,236,8.666.666.666.666.660,124,,,,
2020-01-28 01:10:00 UTC,Slamet,Yellow,-7.241.944.444,1.092.080.556,3432,10219,2.6,146,8.666.666.666.666.660,124,,,,
2025-07-11 12:23:00 UTC,Raung,Yellow,-8.125,1.140.419.444,3332,800,3,202.5,3,124,,,,
2025-07-06 18:36:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,3.7,225,4,124,,,,
2025-07-05 13:41:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,4.3,180,3,124,,,,
2025-07-03 19:32:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,3.9,180,3,124,,,,
2025-07-01 19:16:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,500,0.6,202.5,3,124,,,,
2025-07-01 14:05:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,600,0.7,202.5,3,124,,,,
2025-06-30 17:04:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,2.9,270,2,124,,,,
2025-06-30 14:40:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,3.6,270,3,124,,,,
2025-06-29 11:03:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,600,6.7,315,4,124,,,,
2025-06-24 15:20:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,500,4.2,315,4,124,,,,
2025-06-22 22:23:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,600,4,247.5,3,124,,,,
2025-06-22 00:40:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,300,8.7,292.5,3,124,,,,
2025-06-20 22:59:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,0.7,0,3,124,,,,
2025-06-20 11:11:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,2000,2.1,225,3,124,,,,
2025-06-19 19:24:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,2.2,180,5,124,,,,
2025-06-19 16:25:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1500,2.2,90,6,124,,,,
2025-06-18 21:43:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,2000,2.4,157.5,4,124,,,,
2025-06-18 17:48:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1500,0.8,157.5,4,124,,,,
2025-06-18 15:25:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1100,0.6,112.5,4,124,,,,
2025-06-18 13:55:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,1.5,67.5,4,124,,,,
2025-06-17 22:40:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,500,1.2,180,4,124,,,,
2025-06-17 10:56:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1200,7.6,67.5,4,124,,,,
2025-06-17 09:13:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,750,4.6,90,4,124,,,,
2025-06-14 23:28:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1200,2.2,135,4,124,,,,
2025-06-14 15:58:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,750,2.7,135,4,124,,,,
2025-06-14 09:43:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1200,1.6,270,4,124,,,,
2025-06-13 17:25:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,2.8,202.5,3,124,,,,
2025-06-13 15:29:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,3.6,202.5,4,124,,,,
2025-06-13 10:49:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,750,4.1,247.5,4,124,,,,
2025-06-12 20:07:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,900,3.4,180,4,124,,,,
2025-06-12 19:20:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,400,3.8,180,3,124,,,,
2025-06-11 22:41:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,2.7,180,4,124,,,,
2025-06-11 21:30:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,3.8,135,4,124,,,,
2025-06-11 20:00:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,4.3,135,4,124,,,,
2025-06-11 19:05:00 UTC,Raung,Orange,-8.125,1.140.419.444,3332,1000,4.3,135,4,124,,,,
