eruption_energy_proxy,tinggi_letusan_m,plume_to_elevation_ratio,amplitudo,wind_plume_interaction,month_cos,wind_v,month,month_sin,arah_angin_deg,duration_amplitude_interaction,hour_sin,wind_u,kec_angin_km_jam
470800.0,11770.0,3.9642977433479287,40.0,21186.0,5.551115123125783e-17,-1.8,3.0,1.0,270.0,7200.0,-0.4999999999999997,-3.3306690738754696e-16,1.7999999999999994
748500.0,14970.0,5.042101717750084,50.0,46407.0,5.551115123125783e-17,-3.1,3.0,1.0,270.0,9000.0,-0.5000000000000004,-5.828670879282072e-16,3.1
39600.0,600.0,0.2020882452004042,66.0,6120.0,-0.5000000000000004,-10.2,8.0,-0.8660254037844385,270.0,19074.0,-0.2588190451025215,-1.887379141862766e-15,10.2
823350.0,14970.0,5.042101717750084,55.0,80838.0,-0.8660254037844387,-3.8183766184073566,5.0,0.4999999999999999,225.0,7975.0,-0.7071067811865477,-3.8183766184073575,5.4
695240.0,13370.0,4.503199730549007,52.0,105623.0,-0.8660254037844387,5.586143571373725,5.0,0.4999999999999999,135.0,8476.0,0.7071067811865476,-5.586143571373725,7.9
1842750.0,24570.0,8.27551364095655,75.0,115479.0,5.551115123125783e-17,-3.323401871576773,3.0,1.0,225.0,31500.0,0.8660254037844386,-3.3234018715767744,4.7
210000.0,3000.0,1.0104412260020208,70.0,28800.0,5.551115123125783e-17,-6.788225099390859,3.0,1.0,315.0,14140.0,1.0,6.788225099390854,9.6
139999.99999999994,2000.0,0.6736274840013472,70.0,9800.0,5.551115123125783e-17,-3.464823227814084,3.0,1.0,315.0,11830.0,0.0,3.4648232278140827,4.9
105000.0,1500.0,0.5052206130010104,70.0,4800.0,5.551115123125783e-17,2.2627416997969525,3.0,1.0,135.0,11200.0,-0.5000000000000004,-2.262741699796952,3.2
51000.0,1000.0,0.3368137420006736,51.0,8000.0,0.8660254037844387,5.65685424949238,1.0,0.4999999999999999,135.0,8568.0,0.8660254037844387,-5.65685424949238,8.0
1122750.0,14970.0,5.042101717750084,75.0,53892.0,0.5000000000000001,-2.545584412271572,2.0,0.8660254037844386,315.0,7875.0,-0.5000000000000004,2.5455844122715705,3.6
20000.0,1000.0,0.3368137420006736,20.0,4300.0,-0.5000000000000004,-4.3,8.0,-0.8660254037844385,270.0,4440.0,-0.2588190451025215,-7.771561172376097e-16,4.3
2082750.0,27770.0,9.353317615358709,75.0,197167.0,-1.0,-7.1,6.0,1.1102230246251563e-16,270.0,32100.0,0.4999999999999999,-1.304512053934559e-15,7.1
121100.0,8650.0,2.913438868305827,14.0,23355.0,-0.8660254037844387,1.9091883092036783,5.0,0.4999999999999999,135.0,196.0,0.4999999999999999,-1.9091883092036783,2.7
114000.0,3000.0,1.0104412260020208,38.0,5400.0,5.551115123125783e-17,1.2727922061357857,3.0,1.0,135.0,6270.0,-0.9659258262890684,-1.2727922061357857,1.7999999999999994
1778400.0,23712.0,7.986527450319973,75.0,94848.0,0.5000000000000001,2.8284271247461903,2.0,0.8660254037844386,45.0,32475.0,-0.2588190451025215,2.8284271247461903,4.0
578760.0,11130.0,3.7487369484674975,52.0,28938.0,-1.0,1.838477631085024,6.0,1.1102230246251563e-16,45.0,7904.0,-0.2588190451025207,1.838477631085024,2.6
41000.0,1000.0,0.3368137420006736,41.0,4800.0,1.0,4.799999999999999,12.0,-2.7755575615628914e-16,90.0,28782.0,-0.4999999999999997,3.05311331771918e-16,4.8
1362750.0,18170.0,6.11990569215224,75.0,63595.0,5.551115123125783e-17,-3.5,3.0,1.0,270.0,18225.0,1.249000902703301e-16,-6.38378239159465e-16,3.5
823900.0,11770.0,3.9642977433479287,70.0,107107.0,0.8660254037844384,-9.1,11.0,-0.5000000000000004,270.0,10850.0,0.7071067811865476,-1.6653345369377348e-15,9.1
588500.0,11770.0,3.9642977433479287,50.0,17655.0,-1.0,-1.0606601717798214,6.0,1.1102230246251563e-16,315.0,8100.0,-0.4999999999999997,1.060660171779821,1.5
620500.0,12410.0,4.17985853822836,50.0,32266.0,-0.8660254037844387,-2.6,5.0,0.4999999999999999,270.0,8100.0,0.7071067811865476,-4.718447854656915e-16,2.6
