feature,mi_score
eruption_energy_proxy,0.23472677136282571
tinggi_letusan_m,0.23198980216363108
plume_to_elevation_ratio,0.21412869105251975
month,0.15522796498568792
month_cos,0.15247409100673337
wind_plume_interaction,0.1200832335579946
amplitudo,0.07429816572578019
wind_u,0.07239879687586293
month_sin,0.07091484863642955
wind_v,0.018951911577601344
kec_angin_km_jam,0.01712666240932148
hour_cos,0.017036764059663922
alert_level_num,0.013636788048552673
alert_level,0.01061195571079121
hour_utc,0.008292707249750508
duration,0.006990247884210654
arah_angin_deg,0.006097929946916936
duration_amplitude_interaction,0.00349559885643147
latitude,0.0
longitude,0.0
hour_sin,0.0
elevation,0.0
